total_return,annualized_return,annualized_sharpe,sortino_ratio,max_drawdown,calmar_ratio,bb_window,rsi_window,bb_buy_threshold,bb_sell_threshold,rsi_limits,qty_scale,max_p_value
-0.15111883666785075,-0.04458947595044871,-0.00867084768745625,-0.009406949498199202,1.000697557532102,-0.044558393907160404,10,21,0.1,0.1,"[20.0, 80.0]",0.7,0.1
-0.30535754029562623,-0.09155610403793035,-0.03184548490663844,-0.07902145189016249,0.9497702110828359,-0.09639816343949865,10,21,0.1,0.1,"[20.0, 80.0]",0.7,0.15
-0.30535754029562623,-0.09155610403793035,-0.03184548490663844,-0.07902145189016249,0.9497702110828359,-0.09639816343949865,10,21,0.1,0.1,"[20.0, 80.0]",0.7,0.2
2.073350123682335,0.36696607903561085,0.17260668202077462,0.3259757929323705,0.911858770325899,0.402437406951141,10,21,0.1,0.1,"[20.0, 80.0]",1.2,0.1
-0.7962730651386,-0.34248135028629234,-0.022745847073978157,-0.09488859019937647,1.0080074522131577,-0.3397607324572336,10,21,0.1,0.1,"[20.0, 80.0]",1.2,0.15
-0.7962730651386,-0.34248135028629234,-0.022745847073978157,-0.09488859019937647,1.0080074522131577,-0.3397607324572336,10,21,0.1,0.1,"[20.0, 80.0]",1.2,0.2
3.8845765522659503,0.5551728365522282,0.3426750411929323,0.5042509317260938,0.8882456205575513,0.6250217549102538,10,21,0.1,0.1,"[20.0, 80.0]",1.6,0.1
-0.7540584003540484,-0.3090269020570934,-0.03264763151102146,-0.1700447265558965,0.9590327026195622,-0.32222770007007884,10,21,0.1,0.1,"[20.0, 80.0]",1.6,0.15
-0.7540584003540484,-0.3090269020570934,-0.03264763151102146,-0.1700447265558965,0.9590327026195622,-0.32222770007007884,10,21,0.1,0.1,"[20.0, 80.0]",1.6,0.2
2.6413555289153985,0.43305605167388617,0.307051609612849,0.4369992497632188,0.832103609406052,0.5204352520270855,10,21,0.1,0.1,"[30.0, 70.0]",0.7,0.1
0.715645144083265,0.15287049177590006,0.0008586207870067415,0.005979259067921622,1.031655908700726,0.14817972784009556,10,21,0.1,0.1,"[30.0, 70.0]",0.7,0.15
0.715645144083265,0.15287049177590006,0.0008586207870067415,0.005979259067921622,1.031655908700726,0.14817972784009556,10,21,0.1,0.1,"[30.0, 70.0]",0.7,0.2
5.574451176453506,0.6892855443946875,0.46090872202370947,0.6323544552739572,0.8199951355703126,0.8405971139271264,10,21,0.1,0.1,"[30.0, 70.0]",1.2,0.1
1.0378437470810598,0.20636366122727368,0.002622742264928924,0.0025870672155853115,1.1069630303104718,0.1864232639904826,10,21,0.1,0.1,"[30.0, 70.0]",1.2,0.15
1.0378437470810598,0.20636366122727368,0.002622742264928924,0.0025870672155853115,1.1069630303104718,0.1864232639904826,10,21,0.1,0.1,"[30.0, 70.0]",1.2,0.2
9.06593907714913,0.901989432356467,0.5839764167767572,0.7548176711386281,0.7544390873702778,1.1955762200769586,10,21,0.1,0.1,"[30.0, 70.0]",1.6,0.1
-0.23472964616161884,-0.06807530717674326,-0.0003414840849739974,-0.0013574565443821528,1.1483102839125214,-0.059283024919708244,10,21,0.1,0.1,"[30.0, 70.0]",1.6,0.15
-0.23472964616161884,-0.06807530717674326,-0.0003414840849739974,-0.0013574565443821528,1.1483102839125214,-0.059283024919708244,10,21,0.1,0.1,"[30.0, 70.0]",1.6,0.2
-0.15111406664300098,-0.044587981253809694,-0.008670713270428895,-0.00941445440360448,1.000697557532102,-0.044556900252431496,10,21,0.1,0.5,"[20.0, 80.0]",0.7,0.1
-0.3053516609134441,-0.0915540777077416,-0.031845038148934225,-0.07902057410948007,0.9497702110828359,-0.09639602994429623,10,21,0.1,0.5,"[20.0, 80.0]",0.7,0.15
-0.3053516609134441,-0.0915540777077416,-0.031845038148934225,-0.07902057410948007,0.9497702110828359,-0.09639602994429623,10,21,0.1,0.5,"[20.0, 80.0]",0.7,0.2
2.0733583008677927,0.36696709163882657,0.1726072129735566,0.3261512763337389,0.911858770325899,0.40243851743365067,10,21,0.1,0.5,"[20.0, 80.0]",1.2,0.1
-0.796263729205673,-0.3424734096901203,-0.022745525516508693,-0.09480284988075505,1.0080074522131577,-0.3397528549399051,10,21,0.1,0.5,"[20.0, 80.0]",1.2,0.15
-0.796263729205673,-0.3424734096901203,-0.022745525516508693,-0.09480284988075505,1.0080074522131577,-0.3397528549399051,10,21,0.1,0.5,"[20.0, 80.0]",1.2,0.2
3.8845874551798945,0.5551738030128175,0.3426756507637306,0.5045188631788904,0.8882456205575513,0.6250228429658174,10,21,0.1,0.5,"[20.0, 80.0]",1.6,0.1
-0.7540799606764096,-0.30904286604927744,-0.032649067392166296,-0.16990585950765894,0.9590327026195622,-0.3222443460010679,10,21,0.1,0.5,"[20.0, 80.0]",1.6,0.15
-0.7540799606764096,-0.30904286604927744,-0.032649067392166296,-0.16990585950765894,0.9590327026195622,-0.3222443460010679,10,21,0.1,0.5,"[20.0, 80.0]",1.6,0.2
7.683868033810029,0.8253676989867194,0.48207638529649094,0.6820966135035714,0.8655739430317115,0.9535496136769459,10,21,0.1,0.5,"[30.0, 70.0]",0.7,0.1
0.7703337651723126,0.1624437198294295,0.0009906916879567015,0.008253669220756526,1.1320122180953633,0.14349997043560608,10,21,0.1,0.5,"[30.0, 70.0]",0.7,0.15
0.7703337651723126,0.1624437198294295,0.0009906916879567015,0.008253669220756526,1.1320122180953633,0.14349997043560608,10,21,0.1,0.5,"[30.0, 70.0]",0.7,0.2
