Date,Open,High,Low,Close,Volume,log_returns,Search_Volume,check_ratio,Normalized_Searches,log_searches,temp_date,Normalized_Searches_delayed,norm_search_MA_upper_band,norm_search_MA_lower_band,strategy,coin,qty,balance,coins_value,portfolio_value
2019-11-29,150.56,157.4,150.55,154.41,167906.104,0.025781217339997976,10379.831578947369,943.621052631579,0.6777031965377426,-0.4308891624229439,2019-11-29,1.042731082831883,1.042731082831883,1.042731082831883,1,Ethereum,10.793774151069664,8333.166666666666,1666.6666666666667,9999.833333333332
2019-11-30,154.4,155.15,149.66,151.38,370491.615,-0.019818170451751528,12267.073684210527,943.621052631579,0.9761712955037767,0.3649286498262797,2019-11-30,0.6777031965377426,0.9892739865452023,0.34398975224325534,0,Ethereum,10.793774151069664,8300.461530988925,1633.9615309889257,9934.42306197785
2019-12-01,151.38,152.5,145.5,150.65,394494.119,-0.0048339663047110544,8057.797752808989,671.4831460674158,0.2436709577270776,-1.3878192974040642,2019-12-01,0.9761712955037767,0.9960707988427964,0.510059429417818,0,Ethereum,10.793774151069664,8292.582075858645,1626.0820758586449,9918.66415171729
2019-12-02,150.72,151.3,146.67,148.59,395630.91,-0.013768430308054283,8729.280898876405,671.4831460674158,0.3960017839947836,0.4855999349840137,2019-12-02,0.2436709577270776,0.9170831311159594,0.007013141286762337,0,Ethereum,10.793774151069664,8270.346901107441,1603.8469011074415,9874.193802214882
2019-12-03,148.59,149.8,145.62,147.1,495996.573,-0.010078207660864303,8729.280898876405,671.4831460674158,0.3960017839947836,0.0,2019-12-03,0.3960017839947836,0.8421703709762214,-0.032403167309622116,0,Ethereum,10.793774151069664,8254.264177622348,1587.7641776223475,9842.028355244696
2019-12-04,147.12,152.22,142.96,145.35,684404.817,-0.011968000602506865,8057.797752808989,671.4831460674158,0.2436709577270776,-0.48559993498401366,2019-12-04,0.3960017839947836,0.7880042134130534,-0.0417834364938412,0,Ethereum,10.793774151069664,8235.375072857976,1568.8750728579755,9804.250145715952
2019-12-05,145.36,148.88,143.77,148.04,441113.912,0.01833788051307022,8729.280898876405,671.4831460674158,0.34925197869193586,0.3599748823693572,2019-12-05,0.2436709577270776,0.7355183330844307,-0.1021082906826336,0,Ethereum,10.793774151069664,8264.410325324354,1597.910325324353,9862.320650648708
2019-12-06,148.08,149.5,145.66,148.41,334645.217,0.002496206389771716,8729.280898876405,671.4831460674158,0.34925197869193586,0.0,2019-12-06,0.34925197869193586,0.7004963221660507,-0.09873339053353991,0,Ethereum,10.793774151069664,8268.40402176025,1601.9040217602487,9870.3080435205
2019-12-07,148.41,149.42,146.77,147.1,239185.31,-0.00886608630033505,8729.280898876405,671.4831460674158,0.34925197869193586,0.0,2019-12-07,0.34925197869193586,0.6722710309521667,-0.0921646706414464,0,Ethereum,10.793774151069664,8254.26417762235,1587.7641776223475,9842.028355244698
2019-12-08,147.08,156.25,146.01,150.41,260610.87,0.022252271059730034,8640.289156626506,720.0240963855422,0.36345497896996215,0.03986177135803253,2019-12-08,0.34925197869193586,0.6490026713119569,-0.08415718805136141,0,Ethereum,10.793774151069664,8289.991570062391,1623.491570062388,9913.48314012478
