total_return,annualized_return,annualized_sharpe,sortino_ratio,max_drawdown,calmar_ratio,bb_window,rsi_window,bb_threshold,rsi_limits,qty_scale,max_p_value
0.07,0.01,7.0,1.0,0.0,3.0,10,28,0.5,"[25.0, 75.0]",0.7,0.1
0.03,0.07,1.0,5.0,0.09,8.0,10,28,0.5,"[25.0, 75.0]",0.7,0.15
0.03,0.07,1.0,5.0,0.09,8.0,10,28,0.5,"[25.0, 75.0]",0.7,0.2
0.0,0.03,7.0,3.0,0.06,7.0,10,28,0.5,"[25.0, 75.0]",1.2,0.1
0.03,0.07,1.0,5.0,0.09,9.0,10,28,0.5,"[25.0, 75.0]",1.2,0.15
0.03,0.07,1.0,5.0,0.09,9.0,10,28,0.5,"[25.0, 75.0]",1.2,0.2
0.03,0.06,4.0,4.0,0.06,3.0,10,28,0.5,"[25.0, 75.0]",1.6,0.1
0.06,0.01,2.0,5.0,0.04,9.0,10,28,0.5,"[25.0, 75.0]",1.6,0.15
0.06,0.01,2.0,5.0,0.04,9.0,10,28,0.5,"[25.0, 75.0]",1.6,0.2
0.03,0.08,0.0,6.0,0.02,1.0,10,28,0.5,"[30.0, 70.0]",0.1,0.1
0.02,0.0,1.0,0.0,0.02,6.0,10,28,0.5,"[30.0, 70.0]",0.1,0.15
0.02,0.0,1.0,0.0,0.02,6.0,10,28,0.5,"[30.0, 70.0]",0.1,0.2
0.01,0.02,2.0,4.0,0.01,4.0,10,28,0.5,"[30.0, 70.0]",0.7,0.1
0.04,0.06,0.0,0.0,0.04,1.0,10,28,0.5,"[30.0, 70.0]",0.7,0.15
0.04,0.06,0.0,0.0,0.04,1.0,10,28,0.5,"[30.0, 70.0]",0.7,0.2
0.06,0.02,6.0,1.0,0.02,3.0,10,28,0.5,"[30.0, 70.0]",1.2,0.1
0.06,0.07,6.0,2.0,0.06,5.0,10,28,0.5,"[30.0, 70.0]",1.2,0.15
0.06,0.07,6.0,2.0,0.06,5.0,10,28,0.5,"[30.0, 70.0]",1.2,0.2
0.08,0.08,9.0,4.0,0.01,4.0,10,28,0.5,"[30.0, 70.0]",1.6,0.1
0.08,0.04,0.0,2.0,0.02,4.0,10,28,0.5,"[30.0, 70.0]",1.6,0.15
0.08,0.04,0.0,2.0,0.02,4.0,10,28,0.5,"[30.0, 70.0]",1.6,0.2
0.03,0.0,0.0,6.0,0.06,6.0,10,28,1.0,"[20.0, 80.0]",0.1,0.1
0.08,0.06,4.0,7.0,0.07,6.0,10,28,1.0,"[20.0, 80.0]",0.1,0.15
0.08,0.06,4.0,7.0,0.07,6.0,10,28,1.0,"[20.0, 80.0]",0.1,0.2
0.09,0.01,4.0,3.0,0.07,2.0,10,28,1.0,"[20.0, 80.0]",0.7,0.1
0.01,0.01,1.0,3.0,0.01,6.0,10,28,1.0,"[20.0, 80.0]",0.7,0.15
