Date,Open,High,Low,Close,Volume,log_returns,Search_Volume,check_ratio,Normalized_Searches,log_searches,temp_date,Normalized_Searches_delayed,norm_search_MA_upper_band,norm_search_MA_lower_band,strategy,coin,qty,balance,coins_value,portfolio_value
2019-09-16,10302.0,10353.81,10080.7,10249.27,20185.637,-0.005152922456068935,194325.84615384616,6940.208791208791,2.540159701220688,0.6602898713193869,2019-09-16,2.2626525584379626,,,1,Bitcoin,0.13866932911778573,8571.285714285714,1428.5714285714287,9999.857142857143
2019-09-17,10257.3,10270.63,10136.77,10186.52,22519.607,-0.006141205915192098,187385.63736263735,6940.208791208791,2.1523945617263305,-0.16564598152953786,2019-09-17,2.1857967988974734,2.3003079989097697,2.1481413584256663,0,Bitcoin,0.13866932911778573,8555.272180159192,1412.5578944449069,9967.830074604099
2019-09-18,10183.87,10256.65,10097.92,10155.16,20832.895,-0.0030833269272457584,173505.2197802198,6940.208791208792,1.619418239452558,-0.28451399872142613,2019-09-18,2.4793413088030762,2.5223743384423356,2.096152772316673,0,Bitcoin,0.13866932911778573,8550.923509998058,1408.209224283773,9959.132734281831
2019-09-19,10154.7,10331.62,9530.02,10245.3,26228.754,0.008837113145449086,194325.84615384616,6940.208791208791,2.459308382315707,0.41781319171607856,2019-09-19,2.108941039356983,2.4826571635474446,2.0357086892003027,0,Bitcoin,0.13866932911778573,8563.423163324735,1420.7088776104501,9984.132040935185
2019-09-20,10247.7,10279.3,10070.5,10166.35,23265.91,-0.007735816919825592,187385.63736263735,6940.208791208791,2.2332458806313107,-0.09642408597953503,2019-09-20,1.5987077790862663,2.5836584826121354,1.6705173112205693,0,Bitcoin,0.13866932911778573,8552.475219790886,1409.7609340766012,9962.236153867487
2019-09-21,10166.56,10175.3,9912.63,9983.33,23642.387,-0.01816654491570137,159624.8021978022,6940.208791208791,1.0055905982738036,-0.7978810501553713,2019-09-21,1.0884745188155511,2.6745038773938723,1.2334674570718986,0,Bitcoin,0.13866932911778573,8527.09595917575,1384.381673461464,9911.477632637214
2019-09-22,9992.7,10089.52,9857.0,10023.04,23916.354,0.003969740852400776,134522.97095435683,6114.68049792531,0.03964974935329556,-3.2332456812822956,2019-09-22,1.3125044188631807,2.602508693695014,1.122182284093698,0,Bitcoin,0.13866932911778573,8532.602518235017,1389.8882325207314,9922.490750755747
2019-09-23,10027.69,10046.91,9620.0,9701.96,31927.062,-0.03255851590261737,171211.05394190873,6114.680497925312,1.508298666901868,3.6386529573520074,2019-09-23,2.540159701220688,2.7100528382054994,1.1840916926647957,0,Bitcoin,0.13866932911778573,8488.078570041878,1345.3642843275925,9833.44285436947
2019-09-24,9701.1,9792.83,8645.61,8645.61,29758.535,-0.11527624928938816,232357.85892116182,6114.680497925311,4.049515908692718,0.9876150403062932,2019-09-24,2.1523945617263305,2.68999198937556,1.249779718448332,0,Bitcoin,0.13866932911778573,8341.595224228306,1198.8809385140198,9540.476162742325
2019-09-25,8493.32,8725.24,8200.0,8430.07,48222.102,-0.025246602007240267,287389.9834024896,6114.680497925311,6.39269285383042,0.45655825123668736,2019-09-25,1.619418239452558,2.6312657310779692,1.2384124538540449,0,Bitcoin,0.13866932911778573,8311.706437030258,1168.9921513159723,9480.69858834623
