,Date,Trend
0,2023-11-12,28
1,2023-11-13,31
2,2023-11-14,33
3,2023-11-15,33
4,2023-11-16,30
5,2023-11-17,29
6,2023-11-18,26
7,2023-11-19,25
8,2023-11-20,29
9,2023-11-21,29
10,2023-11-22,30
11,2023-11-23,29
12,2023-11-24,28
13,2023-11-25,25
14,2023-11-26,26
15,2023-11-27,26
16,2023-11-28,27
17,2023-11-29,27
18,2023-11-30,26
19,2023-12-01,29
20,2023-12-02,30
21,2023-12-03,31
22,2023-12-04,50
23,2023-12-05,50
24,2023-12-06,48
25,2023-12-07,40
26,2023-12-08,40
27,2023-12-09,37
28,2023-12-10,32
29,2023-12-11,40
30,2023-12-12,34
31,2023-12-13,34
32,2023-12-14,34
33,2023-12-15,31
34,2023-12-16,30
35,2023-12-17,29
36,2023-12-18,31
37,2023-12-19,33
38,2023-12-20,33
39,2023-12-21,34
40,2023-12-22,34
41,2023-12-23,30
42,2023-12-24,30
43,2023-12-25,31
44,2023-12-26,35
45,2023-12-27,32
46,2023-12-28,33
47,2023-12-29,32
48,2023-12-30,29
49,2023-12-31,28
50,2024-01-01,31
51,2024-01-02,47
52,2024-01-03,52
53,2024-01-04,42
54,2024-01-05,42
55,2024-01-06,36
56,2024-01-07,35
57,2024-01-08,48
58,2024-01-09,56
59,2024-01-10,86
60,2024-01-11,91
61,2024-01-12,58
62,2024-01-13,45
63,2024-01-14,37
64,2024-01-15,37
65,2024-01-16,35
66,2024-01-17,33
67,2024-01-18,35
68,2024-01-19,36
69,2024-01-20,29
70,2024-01-21,28
71,2024-01-22,34
72,2024-01-23,38
73,2024-01-24,32
74,2024-01-25,30
75,2024-01-26,31
76,2024-01-27,24
77,2024-01-28,25
78,2024-01-29,28
79,2024-01-30,30
80,2024-01-31,27
81,2024-02-01,25
82,2024-02-02,26
83,2024-02-03,23
84,2024-02-04,23
85,2024-02-05,25
86,2024-02-06,24
87,2024-02-07,25
88,2024-02-08,30
89,2024-02-09,37
90,2024-02-10,29
91,2024-02-11,32
92,2024-02-12,43
93,2024-02-13,47
94,2024-02-14,46
95,2024-02-15,46
96,2024-02-16,41
97,2024-02-17,31
98,2024-02-18,30
99,2024-02-19,35
100,2024-02-20,35
101,2024-02-21,34
102,2024-02-22,31
103,2024-02-23,30
104,2024-02-24,27
105,2024-02-25,27
106,2024-02-26,36
107,2024-02-27,59
108,2024-02-28,100
109,2024-02-29,86
110,2024-03-01,60
111,2024-03-02,49
112,2024-03-03,47
113,2024-03-04,89
114,2024-03-05,97
115,2024-03-06,75
116,2024-03-07,62
117,2024-03-08,63
118,2024-03-09,56
119,2024-03-10,56
120,2024-03-11,84
121,2024-03-12,71
122,2024-03-13,69
123,2024-03-14,63
124,2024-03-15,68
125,2024-03-16,53
126,2024-03-17,52
127,2024-03-18,49
128,2024-03-19,69
129,2024-03-20,60
130,2024-03-21,53
131,2024-03-22,46
132,2024-03-23,40
133,2024-03-24,40
134,2024-03-25,51
135,2024-03-26,49
136,2024-03-27,45
137,2024-03-28,47
138,2024-03-29,45
139,2024-03-30,38
140,2024-03-31,39
141,2024-04-01,44
142,2024-04-02,51
143,2024-04-03,43
144,2024-04-04,42
145,2024-04-05,41
146,2024-04-06,34
147,2024-04-07,36
148,2024-04-08,47
149,2024-04-09,41
150,2024-04-10,41
151,2024-04-11,43
152,2024-04-12,45
153,2024-04-13,52
154,2024-04-14,58
155,2024-04-15,53
156,2024-04-16,50
157,2024-04-17,51
158,2024-04-18,55
159,2024-04-19,77
160,2024-04-20,70
161,2024-04-21,40
162,2024-04-22,45
163,2024-04-23,38
164,2024-04-24,37
165,2024-04-25,35
166,2024-04-26,32
167,2024-04-27,31
168,2024-04-28,28
169,2024-04-29,32
170,2024-04-30,39
171,2024-05-01,49
172,2024-05-02,37
173,2024-05-03,37
174,2024-05-04,32
175,2024-05-05,28
176,2024-05-06,31
177,2024-05-07,29
178,2024-05-08,29
179,2024-05-09,29
180,2024-05-10,29
181,2024-05-11,27
182,2024-05-12,25
183,2024-05-13,30
184,2024-05-14,29
185,2024-05-15,31
186,2024-05-16,34
187,2024-05-17,33
188,2024-05-18,29
189,2024-05-19,26
190,2024-05-20,33
191,2024-05-21,40
192,2024-05-22,34
193,2024-05-23,33
194,2024-05-24,32
195,2024-05-25,26
196,2024-05-26,26
197,2024-05-27,29
198,2024-05-28,30
199,2024-05-29,29
200,2024-05-30,28
201,2024-05-31,27
202,2024-06-01,23
203,2024-06-02,23
204,2024-06-03,29
205,2024-06-04,28
206,2024-06-05,32
207,2024-06-06,31
208,2024-06-07,31
209,2024-06-08,26
210,2024-06-09,25
211,2024-06-10,28
212,2024-06-11,31
213,2024-06-12,29
214,2024-06-13,29
215,2024-06-14,28
216,2024-06-15,24
217,2024-06-16,24
218,2024-06-17,28
219,2024-06-18,29
220,2024-06-19,27
221,2024-06-20,26
222,2024-06-21,27
223,2024-06-22,23
224,2024-06-23,22
225,2024-06-24,33
226,2024-06-25,31
227,2024-06-26,27
228,2024-06-27,25
229,2024-06-28,25
230,2024-06-29,21
231,2024-06-30,23
232,2024-07-01,26
233,2024-07-02,24
