Date,Open,High,Low,Close,Adj Close,Volume
10/2/2023,144.830002,145.619995,142.630005,143.770004,141.019684,9170600
10/3/2023,143.199997,143.589996,142.350006,142.710007,139.97998,9431100
10/4/2023,143.190002,143.470001,141.929993,143.350006,140.607742,8128700
10/5/2023,142.039993,143.100006,140.830002,142.899994,141.200592,8576200
10/6/2023,142.910004,145.880005,142.139999,145.100006,143.374435,10269400
10/9/2023,143.660004,145.399994,143.5,144.770004,143.048355,6964900
10/10/2023,145.419998,146.770004,145.279999,145.649994,143.917877,11288800
10/11/2023,146.509995,147.229996,145.020004,146.149994,144.411926,8698200
10/12/2023,146.300003,146.960007,145.130005,145.809998,144.075989,10484400
10/13/2023,148.5,153.110001,147.839996,148,146.239929,29427000
10/16/2023,149.449997,149.520004,146.720001,147.850006,146.091721,12663500
10/17/2023,147.570007,149.309998,146.789993,147.529999,145.775528,11482700
10/18/2023,146.589996,147.479996,145.369995,145.910004,144.174805,9620300
10/19/2023,145.479996,147.020004,144.880005,145.289993,143.562164,11143600
10/20/2023,144.570007,145.139999,142.119995,142.949997,141.249985,13332000
10/23/2023,142.940002,143.679993,140.729996,141,139.323196,10133400
10/24/2023,141.190002,141.729996,140.360001,141.169998,139.49115,8881400
10/25/2023,140.570007,141.179993,139.509995,140.399994,138.730316,8242600
10/26/2023,139.759995,141.669998,139.429993,140.759995,139.086029,9109400
10/27/2023,138.949997,139.100006,135.190002,135.690002,134.076324,17434700
10/30/2023,136.440002,138.039993,136.039993,137.419998,135.785767,9855500
10/31/2023,137.710007,139.240005,137.470001,139.059998,137.40625,9672500
11/1/2023,139.25,140.529999,138.470001,138.940002,137.287689,9432000
11/2/2023,140.089996,141.479996,139.229996,141.419998,139.73819,10186200
11/3/2023,142.190002,143.770004,141.850006,143,141.299393,9533100
11/6/2023,143.169998,144.190002,142.789993,144.080002,142.366562,7625100
11/7/2023,143.509995,144.259995,142.820007,144.009995,142.297394,6297900
11/8/2023,144.110001,144.839996,143.619995,144.720001,142.998947,7618200
11/9/2023,145.440002,145.649994,143.699997,144.289993,142.574051,7992500
11/10/2023,144.940002,146.479996,144.080002,146.429993,144.688614,7983300
11/13/2023,145.699997,146.25,145.160004,145.779999,144.046341,6676300
11/14/2023,146.679993,149.25,146.520004,148.440002,146.674698,9927700
11/15/2023,148.460007,150.160004,148.460007,149.740005,147.959244,8365300
11/16/2023,150.089996,151.529999,150.089996,151.449997,149.648911,8126200
11/17/2023,152.199997,152.860001,151.539993,152.820007,151.002625,7812400
11/20/2023,152.080002,153.75,151.919998,153.289993,151.467026,7019000
11/21/2023,153.199997,153.630005,152.570007,152.970001,151.150833,7083500
11/22/2023,153.410004,153.880005,152.899994,153.330002,151.506546,5174500
11/24/2023,153.589996,154.440002,153.279999,153.539993,151.71405,3496900
11/27/2023,153.429993,153.529999,152.710007,153.190002,151.368225,6259100
