,Date,Trend
0,2021-09-05,22
1,2021-09-06,17
2,2021-09-07,18
3,2021-09-08,14
4,2021-09-09,22
5,2021-09-10,46
6,2021-09-11,33
7,2021-09-12,38
8,2021-09-13,52
9,2021-09-14,36
10,2021-09-15,29
11,2021-09-16,27
12,2021-09-17,21
13,2021-09-18,23
14,2021-09-19,29
15,2021-09-20,23
16,2021-09-21,17
17,2021-09-22,18
18,2021-09-23,25
19,2021-09-24,29
20,2021-09-25,31
21,2021-09-26,24
22,2021-09-27,22
23,2021-09-28,18
24,2021-09-29,16
25,2021-09-30,15
26,2021-10-01,21
27,2021-10-02,25
28,2021-10-03,48
29,2021-10-04,34
30,2021-10-05,31
31,2021-10-06,26
32,2021-10-07,22
33,2021-10-08,23
34,2021-10-09,24
35,2021-10-10,29
36,2021-10-11,22
37,2021-10-12,21
38,2021-10-13,17
39,2021-10-14,20
40,2021-10-15,22
41,2021-10-16,19
42,2021-10-17,16
43,2021-10-18,16
44,2021-10-19,18
45,2021-10-20,16
46,2021-10-21,17
47,2021-10-22,18
48,2021-10-23,17
49,2021-10-24,24
50,2021-10-25,20
51,2021-10-26,19
52,2021-10-27,20
53,2021-10-28,18
54,2021-10-29,16
55,2021-10-30,17
56,2021-10-31,16
57,2021-11-01,14
58,2021-11-02,19
59,2021-11-03,18
60,2021-11-04,16
61,2021-11-05,19
62,2021-11-06,18
63,2021-11-07,20
64,2021-11-08,18
65,2021-11-09,18
66,2021-11-10,18
67,2021-11-11,17
68,2021-11-12,16
69,2021-11-13,18
70,2021-11-14,21
71,2021-11-15,18
72,2021-11-16,16
73,2021-11-17,17
74,2021-11-18,15
75,2021-11-19,12
76,2021-11-20,16
77,2021-11-21,16
78,2021-11-22,14
79,2021-11-23,14
80,2021-11-24,13
81,2021-11-25,11
82,2021-11-26,12
83,2021-11-27,12
84,2021-11-28,12
85,2021-11-29,24
86,2021-11-30,26
87,2021-12-01,18
88,2021-12-02,14
89,2021-12-03,14
90,2021-12-04,18
91,2021-12-05,22
92,2021-12-06,14
93,2021-12-07,41
94,2021-12-08,54
95,2021-12-09,27
96,2021-12-10,18
97,2021-12-11,19
98,2021-12-12,31
99,2021-12-13,19
100,2021-12-14,18
101,2021-12-15,17
102,2021-12-16,16
103,2021-12-17,15
104,2021-12-18,13
105,2021-12-19,12
106,2021-12-20,12
107,2021-12-21,12
108,2021-12-22,14
109,2021-12-23,15
110,2021-12-24,12
111,2021-12-25,16
112,2021-12-26,14
113,2021-12-27,16
114,2021-12-28,12
115,2021-12-29,14
116,2021-12-30,14
117,2021-12-31,12
118,2022-01-01,17
119,2022-01-02,16
120,2022-01-03,19
121,2022-01-04,51
122,2022-01-05,19
123,2022-01-06,18
124,2022-01-07,17
125,2022-01-08,23
126,2022-01-09,17
127,2022-01-10,20
128,2022-01-11,18
129,2022-01-12,20
130,2022-01-13,39
131,2022-01-14,21
132,2022-01-15,23
133,2022-01-16,34
134,2022-01-17,15
135,2022-01-18,15
136,2022-01-19,14
137,2022-01-20,15
138,2022-01-21,16
139,2022-01-22,21
140,2022-01-23,16
141,2022-01-24,16
142,2022-01-25,14
143,2022-01-26,15
144,2022-01-27,15
145,2022-01-28,17
146,2022-01-29,16
147,2022-01-30,20
148,2022-01-31,16
149,2022-02-01,16
150,2022-02-02,22
151,2022-02-03,29
152,2022-02-04,38
153,2022-02-05,29
154,2022-02-06,24
155,2022-02-07,19
156,2022-02-08,24
157,2022-02-09,31
158,2022-02-10,100
159,2022-02-11,94
160,2022-02-12,82
161,2022-02-13,34
162,2022-02-14,25
163,2022-02-15,27
164,2022-02-16,22
165,2022-02-17,21
166,2022-02-18,21
167,2022-02-19,16
168,2022-02-20,21
169,2022-02-21,18
170,2022-02-22,23
171,2022-02-23,28
172,2022-02-24,20
173,2022-02-25,15
174,2022-02-26,20
175,2022-02-27,14
176,2022-02-28,16
177,2022-03-01,14
178,2022-03-02,14
179,2022-03-03,16
180,2022-03-04,12
181,2022-03-05,14
182,2022-03-06,17
183,2022-03-07,17
184,2022-03-08,14
185,2022-03-09,13
186,2022-03-10,17
187,2022-03-11,14
188,2022-03-12,21
189,2022-03-13,15
190,2022-03-14,15
191,2022-03-15,18
192,2022-03-16,16
193,2022-03-17,13
194,2022-03-18,15
195,2022-03-19,18
196,2022-03-20,18
197,2022-03-21,15
198,2022-03-22,16
199,2022-03-23,16
200,2022-03-24,16
201,2022-03-25,16
202,2022-03-26,22
203,2022-03-27,18
204,2022-03-28,18
205,2022-03-29,16
206,2022-03-30,14
207,2022-03-31,14
208,2022-04-01,15
209,2022-04-02,18
210,2022-04-03,17
211,2022-04-04,16
212,2022-04-05,14
213,2022-04-06,13
214,2022-04-07,16
215,2022-04-08,14
216,2022-04-09,14
217,2022-04-10,16
218,2022-04-11,11
219,2022-04-12,10
220,2022-04-13,13
221,2022-04-14,11
222,2022-04-15,12
223,2022-04-16,14
224,2022-04-17,11
225,2022-04-18,12
226,2022-04-19,13
227,2022-04-20,10
228,2022-04-21,12
229,2022-04-22,12
230,2022-04-23,15
231,2022-04-24,16
232,2022-04-25,11
233,2022-04-26,11
234,2022-04-27,13
235,2022-04-28,12
236,2022-04-29,11
237,2022-04-30,9
238,2022-05-01,13
239,2022-05-02,13
240,2022-05-03,12
241,2022-05-04,10
242,2022-05-05,12
243,2022-05-06,14
244,2022-05-07,15
245,2022-05-08,13
246,2022-05-09,12
247,2022-05-10,13
248,2022-05-11,15
249,2022-05-12,11
250,2022-05-13,14
251,2022-05-14,11
252,2022-05-15,11
253,2022-05-16,8
254,2022-05-17,11
255,2022-05-18,12
256,2022-05-19,10
257,2022-05-20,9
258,2022-05-21,9
259,2022-05-22,11
260,2022-05-23,11
261,2022-05-24,13
262,2022-05-25,10
263,2022-05-26,9
264,2022-05-27,10
265,2022-05-28,7
