,Date,Open,High,Low,Close,Volume
0,2020-01-09,45.32,45.77,43.87,44.73,212861.927
1,2020-01-10,44.73,49.63,43.8,49.04,384284.072
2,2020-01-11,49.03,51.99,47.76,49.25,545784.433
3,2020-01-12,49.3,51.75,48.78,51.33,528807.006
4,2020-01-13,51.33,51.42,48.9,49.58,481361.43
5,2020-01-14,49.6,61.21,49.58,58.55,1387911.639
6,2020-01-15,58.55,60.37,55.36,58.2,677280.386
7,2020-01-16,58.27,58.56,54.68,57.6,387334.981
8,2020-01-17,57.64,63.39,56.83,61.15,699042.16
9,2020-01-18,61.18,62.76,57.96,59.33,400679.659
10,2020-01-19,59.38,62.7,55.35,57.64,439816.278
11,2020-01-20,57.63,58.32,55.85,57.23,221200.071
12,2020-01-21,57.26,58.15,56.0,57.59,176966.937
13,2020-01-22,57.61,59.49,57.23,58.36,240476.89
14,2020-01-23,58.36,58.46,52.14,54.5,390128.497
15,2020-01-24,54.53,55.48,50.68,54.4,380824.766
16,2020-01-25,54.38,54.43,52.18,53.28,214348.899
17,2020-01-26,53.23,56.63,52.82,56.27,278686.132
18,2020-01-27,56.32,59.68,55.92,58.6,361503.218
19,2020-01-28,58.59,61.65,57.3,60.57,490260.107
20,2020-01-29,60.58,62.78,59.48,59.86,514719.82
21,2020-01-30,59.89,70.3,58.2,68.03,1130298.782
22,2020-01-31,68.01,70.1,65.41,68.01,1316496.14
23,2020-02-01,68.08,73.0,67.67,70.73,1214559.486
24,2020-02-02,70.74,73.61,67.45,70.01,1067588.624
25,2020-02-03,69.99,73.1,68.57,69.69,908404.842
26,2020-02-04,69.7,70.55,66.74,68.15,864721.179
27,2020-02-05,68.14,73.54,67.74,72.7,938936.749
28,2020-02-06,72.7,75.2,71.02,73.68,885328.176
29,2020-02-07,73.72,75.56,72.97,74.4,753271.791
30,2020-02-08,74.39,77.99,71.59,76.66,907541.871
31,2020-02-09,76.66,78.52,75.0,77.09,867779.427
32,2020-02-10,77.1,77.65,72.54,74.09,1160040.655
33,2020-02-11,74.07,77.6,72.77,76.6,936902.251
34,2020-02-12,76.6,83.1,76.6,81.31,1370117.76
35,2020-02-13,81.31,84.78,75.24,80.68,1628544.558
36,2020-02-14,80.69,83.92,78.72,83.14,894633.684
37,2020-02-15,83.15,83.64,74.81,76.8,922664.131
38,2020-02-16,76.78,80.85,67.34,74.9,1179931.913
39,2020-02-17,74.74,75.66,68.58,73.6,1027609.908
40,2020-02-18,73.54,79.2,70.04,77.39,759448.8
41,2020-02-19,77.39,79.73,64.31,70.56,1082076.133
42,2020-02-20,70.65,72.52,66.15,69.44,791753.105
43,2020-02-21,69.44,75.48,68.57,73.33,1146695.16
44,2020-02-22,73.33,76.85,72.43,74.79,1153653.768
45,2020-02-23,74.8,80.08,74.71,79.66,1309914.943
46,2020-02-24,79.62,79.84,71.69,75.64,1871316.693
47,2020-02-25,75.64,76.19,69.46,71.03,1637648.766
48,2020-02-26,71.05,72.18,57.4,60.52,2240594.829
49,2020-02-27,60.57,65.2,57.09,61.78,1630138.399
50,2020-02-28,61.79,63.44,56.56,59.95,1676427.006
51,2020-02-29,59.92,61.72,57.87,58.12,966106.269
52,2020-03-01,58.11,60.34,56.24,57.78,1010214.686
53,2020-03-02,57.77,62.39,57.25,61.52,943139.957
54,2020-03-03,61.52,62.54,59.41,61.09,909566.311
55,2020-03-04,61.09,61.87,58.79,60.4,662911.146
56,2020-03-05,60.39,63.33,60.39,62.11,768020.447
57,2020-03-06,62.11,63.9,61.24,63.31,783058.83
58,2020-03-07,63.31,64.02,60.0,60.49,813703.963
59,2020-03-08,60.5,60.5,50.28,50.99,1439119.706
60,2020-03-09,51.08,52.29,46.63,50.37,2124369.893
