,Date,Open,High,Low,Close,Adj Close,Volume
0,2023-10-02,32.619998931884766,33.0099983215332,31.989999771118164,32.13999938964844,31.423837661743164,9649300
1,2023-10-03,31.889999389648438,31.93000030517578,31.200000762939453,31.34000015258789,30.64166259765625,10300600
2,2023-10-04,31.399999618530273,31.540000915527344,30.8799991607666,31.239999771118164,30.54388999938965,13407700
3,2023-10-05,31.0,31.920000076293945,30.6299991607666,31.8700008392334,31.159854888916016,10572000
4,2023-10-06,31.540000915527344,32.189998626708984,31.100000381469727,31.860000610351562,31.150075912475586,9414500
5,2023-10-09,31.59000015258789,32.150001525878906,31.450000762939453,32.0099983215332,31.29673194885254,7764800
6,2023-10-10,32.47999954223633,32.95000076293945,32.33000183105469,32.59000015258789,31.86380958557129,10108100
7,2023-10-11,32.59000015258789,33.099998474121094,32.310001373291016,32.5099983215332,31.78559112548828,7855000
8,2023-10-12,32.540000915527344,32.7599983215332,31.93000030517578,32.2599983215332,31.541162490844727,10285800
9,2023-10-13,32.529998779296875,32.88999938964844,31.8799991607666,32.16999816894531,31.453166961669922,10943200
10,2023-10-16,32.58000183105469,32.77000045776367,31.950000762939453,32.619998931884766,31.893138885498047,11409700
11,2023-10-17,32.459999084472656,36.209999084472656,32.41999816894531,34.88999938964844,34.1125602722168,36729900
12,2023-10-18,34.65999984741211,35.29999923706055,33.279998779296875,33.369998931884766,32.626426696777344,24960300
13,2023-10-19,33.31999969482422,33.810001373291016,32.72999954223633,32.75,32.02024459838867,15105700
14,2023-10-20,32.619998931884766,32.83000183105469,30.790000915527344,30.93000030517578,30.240798950195312,19086200
15,2023-10-23,31.200000762939453,31.760000228881836,30.65999984741211,31.260000228881836,30.563446044921875,14932300
16,2023-10-24,31.40999984741211,31.579999923706055,30.780000686645508,31.389999389648438,30.690547943115234,15076200
17,2023-10-25,31.079999923706055,31.56999969482422,30.670000076293945,31.290000915527344,30.592777252197266,13054500
18,2023-10-26,31.34000015258789,32.290000915527344,31.239999771118164,31.770000457763672,31.062082290649414,15956600
19,2023-10-27,31.299999237060547,31.6200008392334,30.469999313354492,30.639999389648438,29.957260131835938,10909400
20,2023-10-30,30.959999084472656,31.329999923706055,30.59000015258789,31.309999465942383,30.61233139038086,9653000
21,2023-10-31,31.450000762939453,31.889999389648438,30.8799991607666,31.8799991607666,31.16963005065918,12582400
22,2023-11-01,31.8700008392334,32.06999969482422,31.40999984741211,31.860000610351562,31.150075912475586,14876800
23,2023-11-02,32.43000030517578,34.34000015258789,32.38999938964844,34.34000015258789,33.57481384277344,15473500
