,Date,Trend
0,2023-11-05,28
1,2023-11-06,27
2,2023-11-07,30
3,2023-11-08,29
4,2023-11-09,41
5,2023-11-10,36
6,2023-11-11,32
7,2023-11-12,29
8,2023-11-13,32
9,2023-11-14,34
10,2023-11-15,34
11,2023-11-16,31
12,2023-11-17,30
13,2023-11-18,27
14,2023-11-19,26
15,2023-11-20,30
16,2023-11-21,30
17,2023-11-22,31
18,2023-11-23,30
19,2023-11-24,29
20,2023-11-25,26
21,2023-11-26,26
22,2023-11-27,27
23,2023-11-28,27
24,2023-11-29,28
25,2023-11-30,27
26,2023-12-01,30
27,2023-12-02,30
28,2023-12-03,32
29,2023-12-04,51
30,2023-12-05,51
31,2023-12-06,50
32,2023-12-07,41
33,2023-12-08,41
34,2023-12-09,38
35,2023-12-10,33
36,2023-12-11,41
37,2023-12-12,35
38,2023-12-13,34
39,2023-12-14,35
40,2023-12-15,32
41,2023-12-16,31
42,2023-12-17,29
43,2023-12-18,32
44,2023-12-19,34
45,2023-12-20,34
46,2023-12-21,34
47,2023-12-22,35
48,2023-12-23,31
49,2023-12-24,31
50,2023-12-25,31
51,2023-12-26,35
52,2023-12-27,33
53,2023-12-28,34
54,2023-12-29,33
55,2023-12-30,30
56,2023-12-31,29
57,2024-01-01,32
58,2024-01-02,49
59,2024-01-03,53
60,2024-01-04,43
61,2024-01-05,43
62,2024-01-06,37
63,2024-01-07,35
64,2024-01-08,49
65,2024-01-09,57
66,2024-01-10,88
67,2024-01-11,93
68,2024-01-12,59
69,2024-01-13,46
70,2024-01-14,38
71,2024-01-15,38
72,2024-01-16,36
73,2024-01-17,34
74,2024-01-18,36
75,2024-01-19,37
76,2024-01-20,30
77,2024-01-21,28
78,2024-01-22,35
79,2024-01-23,40
80,2024-01-24,33
81,2024-01-25,31
82,2024-01-26,31
83,2024-01-27,25
84,2024-01-28,26
85,2024-01-29,29
86,2024-01-30,31
87,2024-01-31,28
88,2024-02-01,25
89,2024-02-02,26
90,2024-02-03,24
91,2024-02-04,23
92,2024-02-05,25
93,2024-02-06,25
94,2024-02-07,26
95,2024-02-08,30
96,2024-02-09,38
97,2024-02-10,30
98,2024-02-11,33
99,2024-02-12,44
100,2024-02-13,46
101,2024-02-14,47
102,2024-02-15,48
103,2024-02-16,42
104,2024-02-17,32
105,2024-02-18,31
106,2024-02-19,36
107,2024-02-20,36
108,2024-02-21,34
109,2024-02-22,32
110,2024-02-23,31
111,2024-02-24,28
112,2024-02-25,28
113,2024-02-26,37
114,2024-02-27,60
115,2024-02-28,100
116,2024-02-29,88
117,2024-03-01,62
118,2024-03-02,50
119,2024-03-03,49
120,2024-03-04,87
121,2024-03-05,99
122,2024-03-06,77
123,2024-03-07,63
124,2024-03-08,65
125,2024-03-09,58
126,2024-03-10,57
127,2024-03-11,86
128,2024-03-12,72
129,2024-03-13,71
130,2024-03-14,64
131,2024-03-15,70
132,2024-03-16,55
133,2024-03-17,53
134,2024-03-18,50
135,2024-03-19,71
136,2024-03-20,62
137,2024-03-21,53
138,2024-03-22,47
139,2024-03-23,41
140,2024-03-24,41
141,2024-03-25,52
142,2024-03-26,51
143,2024-03-27,46
144,2024-03-28,48
145,2024-03-29,46
146,2024-03-30,39
147,2024-03-31,40
148,2024-04-01,45
149,2024-04-02,52
150,2024-04-03,45
151,2024-04-04,43
152,2024-04-05,42
153,2024-04-06,35
154,2024-04-07,36
155,2024-04-08,48
156,2024-04-09,42
157,2024-04-10,42
158,2024-04-11,44
159,2024-04-12,46
160,2024-04-13,53
161,2024-04-14,59
162,2024-04-15,54
163,2024-04-16,52
164,2024-04-17,52
165,2024-04-18,57
166,2024-04-19,79
167,2024-04-20,72
168,2024-04-21,41
169,2024-04-22,46
170,2024-04-23,39
171,2024-04-24,38
172,2024-04-25,36
173,2024-04-26,33
174,2024-04-27,32
175,2024-04-28,29
176,2024-04-29,33
177,2024-04-30,40
178,2024-05-01,50
179,2024-05-02,38
180,2024-05-03,38
181,2024-05-04,33
182,2024-05-05,29
183,2024-05-06,32
184,2024-05-07,30
185,2024-05-08,30
186,2024-05-09,30
187,2024-05-10,30
188,2024-05-11,27
189,2024-05-12,26
190,2024-05-13,31
191,2024-05-14,30
192,2024-05-15,32
193,2024-05-16,35
194,2024-05-17,34
195,2024-05-18,27
196,2024-05-19,27
197,2024-05-20,34
198,2024-05-21,41
199,2024-05-22,35
200,2024-05-23,34
201,2024-05-24,33
202,2024-05-25,27
203,2024-05-26,27
204,2024-05-27,30
205,2024-05-28,30
206,2024-05-29,29
207,2024-05-30,29
208,2024-05-31,27
209,2024-06-01,23
210,2024-06-02,24
211,2024-06-03,30
212,2024-06-04,29
213,2024-06-05,33
214,2024-06-06,31
215,2024-06-07,31
216,2024-06-08,27
217,2024-06-09,26
218,2024-06-10,28
219,2024-06-11,31
220,2024-06-12,30
221,2024-06-13,30
222,2024-06-14,28
223,2024-06-15,25
224,2024-06-16,25
225,2024-06-17,29
226,2024-06-18,30
227,2024-06-19,26
228,2024-06-20,28
229,2024-06-21,28
230,2024-06-22,22
231,2024-06-23,23
232,2024-06-24,35
233,2024-06-25,31
234,2024-06-26,28
235,2024-06-27,26
236,2024-06-28,26
237,2024-06-29,22
