,Date,Open,High,Low,Close,Volume
0,2020-08-22,2.92,5.1,2.92,4.465,34281718.6
1,2020-08-23,4.482,4.5,3.706,3.993,23021804.0
2,2020-08-24,3.993,4.81,3.755,4.594,27131790.2
3,2020-08-25,4.585,5.776,4.492,5.56,54379664.2
4,2020-08-26,5.56,6.598,5.102,6.092,51031902.3
5,2020-08-27,6.092,6.828,5.23,5.668,75224186.8
6,2020-08-28,5.658,6.388,5.511,6.179,33421289.7
7,2020-08-29,6.186,6.571,6.018,6.144,24587097.5
8,2020-08-30,6.148,6.237,5.721,5.899,20792243.5
9,2020-08-31,5.898,6.479,5.762,6.275,22653228.3
10,2020-09-01,6.275,6.889,6.125,6.253,24095350.4
11,2020-09-02,6.254,6.46,5.51,6.136,27104128.0
12,2020-09-03,6.144,6.339,5.55,5.68,40503527.5
13,2020-09-04,5.68,5.995,4.467,5.105,46084440.4
14,2020-09-05,5.102,5.315,3.55,4.145,48012193.8
15,2020-09-06,4.145,4.946,3.726,4.789,33884882.7
16,2020-09-07,4.789,4.836,4.001,4.598,22395692.9
17,2020-09-08,4.598,4.632,4.108,4.274,15114305.5
18,2020-09-09,4.268,4.8,4.132,4.706,15706478.6
19,2020-09-10,4.707,4.9,4.442,4.577,14627909.7
20,2020-09-11,4.578,4.744,4.294,4.651,12384407.3
21,2020-09-12,4.65,5.304,4.499,5.143,23105202.5
22,2020-09-13,5.143,5.481,4.77,5.33,28970409.1
23,2020-09-14,5.33,5.584,5.089,5.365,21796482.8
24,2020-09-15,5.363,5.452,5.044,5.062,15695368.3
25,2020-09-16,5.061,5.291,4.969,5.082,12657543.0
26,2020-09-17,5.077,5.432,5.049,5.34,13989325.4
27,2020-09-18,5.338,5.465,5.091,5.268,11417450.6
28,2020-09-19,5.269,5.273,4.806,4.929,7722368.4
29,2020-09-20,4.926,4.974,4.376,4.661,13744406.2
30,2020-09-21,4.661,4.699,3.906,4.069,26452655.3
31,2020-09-22,4.069,4.21,3.9,4.164,13963592.0
32,2020-09-23,4.162,4.327,3.939,4.017,18670450.4
33,2020-09-24,4.017,4.469,3.96,4.38,16488091.9
34,2020-09-25,4.38,4.534,4.236,4.416,10448990.3
35,2020-09-26,4.417,4.485,4.224,4.331,6762111.0
36,2020-09-27,4.33,4.368,4.11,4.301,7868546.8
37,2020-09-28,4.3,4.596,4.203,4.456,16281359.8
38,2020-09-29,4.454,4.617,4.352,4.499,13468351.9
39,2020-09-30,4.499,4.505,4.237,4.35,8146297.3
40,2020-10-01,4.35,4.593,4.241,4.348,14286848.1
41,2020-10-02,4.346,4.366,3.848,4.125,12576507.8
42,2020-10-03,4.125,4.147,4.024,4.061,4591505.0
43,2020-10-04,4.061,4.198,4.006,4.178,5334150.7
44,2020-10-05,4.177,4.245,4.104,4.16,6958518.5
45,2020-10-06,4.159,4.179,3.592,3.743,17071553.3
46,2020-10-07,3.743,3.885,3.591,3.85,15267754.0
47,2020-10-08,3.849,4.16,3.621,4.117,18897243.0
48,2020-10-09,4.115,4.353,4.01,4.257,13744416.0
49,2020-10-10,4.254,4.49,4.223,4.262,11444963.4
50,2020-10-11,4.262,4.343,4.164,4.248,8330751.3
51,2020-10-12,4.248,4.455,4.178,4.311,14438897.4
52,2020-10-13,4.31,4.349,4.125,4.254,8263068.0
53,2020-10-14,4.254,4.388,4.074,4.186,11394825.4
54,2020-10-15,4.186,4.193,4.019,4.103,8460458.8
55,2020-10-16,4.102,4.161,3.79,3.916,9332072.8
56,2020-10-17,3.917,3.982,3.862,3.967,3942619.0
57,2020-10-18,3.967,4.13,3.956,4.111,4442084.6
58,2020-10-19,4.109,4.125,3.953,3.989,5237793.8
59,2020-10-20,3.988,4.15,3.863,3.903,11666325.9
60,2020-10-21,3.904,4.247,3.89,4.136,13125316.1
61,2020-10-22,4.136,4.345,4.124,4.274,11088616.7
62,2020-10-23,4.272,4.492,4.184,4.266,13498558.6
63,2020-10-24,4.265,4.439,4.242,4.352,10436586.4
64,2020-10-25,4.351,4.451,4.257,4.33,7512771.4
65,2020-10-26,4.333,4.751,4.289,4.702,23157749.7
66,2020-10-27,4.703,4.939,4.641,4.677,18254991.3
67,2020-10-28,4.677,4.784,4.23,4.358,15525273.3
68,2020-10-29,4.356,4.411,3.822,4.055,18536282.2
69,2020-10-30,4.054,4.161,3.908,4.081,10743311.6
70,2020-10-31,4.08,4.281,4.054,4.18,6751670.7
71,2020-11-01,4.181,4.224,4.104,4.218,4507314.7
72,2020-11-02,4.22,4.264,3.957,4.026,10764650.7
73,2020-11-03,4.026,4.068,3.877,4.033,9641198.0
74,2020-11-04,4.033,4.155,3.887,4.096,11005075.9
75,2020-11-05,4.097,4.303,4.008,4.224,10263880.4
76,2020-11-06,4.224,4.645,4.201,4.587,12754179.9
