Date,Open,High,Low,Close,Adj Close,Volume
10/1/2023,146.547928,149.753937,145.852066,149.161407,149.161407,68116546
10/2/2023,149.158157,149.989868,145.494705,146.20343,146.20343,62225244
10/3/2023,146.193024,147.805603,145.165909,147.151352,147.151352,49389643
10/4/2023,147.168442,150.702347,145.940781,150.469055,150.469055,59400400
10/5/2023,150.474197,151.328369,148.565491,149.623718,149.623718,55704972
10/6/2023,149.623337,152.669296,148.641647,151.992264,151.992264,49535004
10/7/2023,151.988235,155.247528,151.100983,155.212143,155.212143,61159796
10/8/2023,155.219528,156.48204,153.763336,156.191223,156.191223,59858985
10/9/2023,156.190552,156.192932,151.908813,153.795502,153.795502,61203300
10/10/2023,153.790405,154.468155,152.097107,152.215652,152.215652,54504811
10/11/2023,152.220093,153.929443,150.970428,153.842102,153.842102,61162383
10/12/2023,153.852783,154.344238,151.021347,152.341812,152.341812,65445853
10/13/2023,152.339523,154.368774,151.051971,153.590515,153.590515,51282283
10/14/2023,153.583801,154.28299,151.850967,152.83316,152.83316,33344438
10/15/2023,152.833466,153.465881,152.173126,152.44899,152.44899,31895675
10/16/2023,152.437531,153.522949,151.155411,152.544098,152.544098,64382308
10/17/2023,152.532791,152.532791,149.571411,150.522949,150.522949,59794609
10/18/2023,150.51915,152.444458,149.80072,149.80072,149.80072,49751092
10/19/2023,149.792343,152.414093,147.037399,152.409973,152.409973,64232306
10/20/2023,152.44632,157.143311,152.017517,154.820786,154.820786,73620094
10/21/2023,154.822906,158.069092,154.403244,157.968842,157.968842,46945848
10/22/2023,157.977966,160.014374,156.732651,158.960754,158.960754,58618180
10/23/2023,158.344894,161.37085,157.058136,160.896576,160.896576,99491037
10/24/2023,160.882355,163.498611,156.881622,158.014786,158.014786,111442768
10/25/2023,158.046097,160.488113,154.747528,160.01059,160.01059,87869552
10/26/2023,160.046402,162.415909,156.942902,159.650482,159.650482,84040515
10/27/2023,159.645721,161.072144,157.06105,160.886459,160.886459,76714216
10/28/2023,160.899582,162.61908,159.781158,162.19104,162.19104,49948616
10/29/2023,162.189728,174.384125,160.232956,174.354248,174.354248,115729916
10/30/2023,174.32283,174.744705,164.998596,172.631927,172.631927,128765441
10/31/2023,172.651932,173.790985,169.102188,172.35965,172.35965,78738525
11/1/2023,172.336853,172.915207,169.64563,171.643295,171.643295,100274579
11/2/2023,171.641693,172.456528,167.897324,171.00592,171.00592,114415103
11/3/2023,171.011673,173.158478,168.921127,170.853958,170.853958,94459011
11/4/2023,170.858963,171.696014,165.682114,168.397934,168.397934,46764927
11/5/2023,168.387543,170.889633,167.815872,169.692078,169.692078,46465914
11/6/2023,169.692078,169.692078,164.727493,165.373398,165.373398,65232788
11/7/2023,165.349182,168.176071,162.21759,166.126053,166.126053,106896188
11/8/2023,166.133514,167.758835,164.592102,167.316757,167.316757,103968396
11/9/2023,167.321564,171.038376,160.137878,170.136353,170.136353,130627064
11/10/2023,170.142426,173.630295,167.388062,171.146576,171.146576,108566608
11/11/2023,171.091217,172.094604,168.249054,169.241745,169.241745,102537913
11/12/2023,169.219803,171.506577,166.91748,171.124344,171.124344,80788515
11/13/2023,171.151093,172.878769,163.009842,163.009842,163.009842,82389570
11/14/2023,162.970413,166.404022,160.056931,163.256622,163.256622,78507177
11/15/2023,163.26181,166.465714,158.463226,161.01268,161.01268,101369551
11/16/2023,161.022537,162.761749,157.67981,160.793594,160.793594,96827653
11/17/2023,160.829193,167.014175,160.635895,162.699539,162.699539,114301735
11/18/2023,162.714417,162.853516,159.508911,160.801483,160.801483,65270321
11/19/2023,160.808044,164.276123,159.703049,164.186005,164.186005,55034009
11/20/2023,164.16246,164.979507,162.170654,163.229767,163.229767,67592443
11/21/2023,163.192368,165.783188,158.562973,159.2556,159.2556,84676092
11/22/2023,159.22377,163.889954,158.720322,163.281982,163.281982,86263978
11/23/2023,163.221283,167.819641,163.142715,166.090408,166.090408,82643484
11/24/2023,166.084824,171.277542,165.927856,170.458115,170.458115,84379576
11/25/2023,170.466202,172.741943,169.866501,172.018982,172.018982,67521431
11/26/2023,172.016861,172.930939,168.227051,169.543045,169.543045,59499987
11/27/2023,169.497543,170.324997,165.146561,165.534927,165.534927,86930868
11/28/2023,165.540482,167.91095,164.275925,167.735352,167.735352,76428348
11/29/2023,167.75946,167.825439,165.111771,165.964676,165.964676,81460215
11/30/2023,165.974579,170.225189,165.931046,169.787704,169.787704,76512145
12/1/2023,169.772003,171.858276,169.282898,171.568665,171.568665,83821876
12/2/2023,171.574173,173.665649,170.667191,172.678452,172.678452,83989216
12/3/2023,172.67244,173.420746,170.713104,172.259781,172.259781,69999790
12/4/2023,172.246368,174.214798,167.040161,170.473053,170.473053,111965055
12/5/2023,170.476563,172.270035,167.941544,171.435242,171.435242,100741920
12/6/2023,171.43187,173.873535,170.460678,170.638596,170.638596,104940940
12/7/2023,170.685699,176.951447,170.344559,173.002167,173.002167,100270470
12/8/2023,172.996674,175.412933,172.348297,174.185776,174.185776,113598756
12/9/2023,174.178452,176.814362,174.087784,174.987213,174.987213,89164506
12/10/2023,175.015656,178.489288,174.906174,175.762451,175.762451,81518301
