,Date,Open,High,Low,Close,Adj Close,Volume
0,2023-10-02,148.4199981689453,149.89999389648438,148.07000732421875,149.47999572753906,147.93060302734375,2657600
1,2023-10-03,148.5,149.17999267578125,144.30999755859375,145.0500030517578,143.54653930664062,4184100
2,2023-10-04,145.89999389648438,146.9199981689453,144.39999389648438,146.6300048828125,145.11016845703125,3476700
3,2023-10-05,145.5800018310547,147.5399932861328,144.77000427246094,147.08999633789062,146.16348266601562,2706200
4,2023-10-06,146.7100067138672,150.35000610351562,146.13999938964844,149.32000732421875,148.37942504882812,3204600
5,2023-10-09,147.60000610351562,149.4499969482422,147.4199981689453,148.82000732421875,147.88259887695312,2279400
6,2023-10-10,149.5,151.72999572753906,149.0,150.92999267578125,149.97927856445312,2909100
7,2023-10-11,151.42999267578125,152.80999755859375,149.75999450683594,151.50999450683594,150.55563354492188,1727000
8,2023-10-12,152.5,152.72000122070312,150.11000061035156,151.27999877929688,150.32708740234375,2377200
9,2023-10-13,152.9199981689453,154.13999938964844,150.42999267578125,151.10000610351562,150.14822387695312,2951500
10,2023-10-16,152.3699951171875,153.41000366210938,151.2100067138672,152.7899932861328,151.8275604248047,2586300
11,2023-10-17,151.55999755859375,154.72999572753906,151.5,154.38999938964844,153.41749572753906,3919400
12,2023-10-18,153.1199951171875,153.58999633789062,151.1300048828125,151.52999877929688,150.57550048828125,2632200
13,2023-10-19,150.41000366210938,156.0500030517578,149.00999450683594,149.6199951171875,148.6775360107422,4642200
14,2023-10-20,144.6999969482422,147.94000244140625,141.44000244140625,141.57000732421875,140.67825317382812,8261000
15,2023-10-23,141.5,145.85000610351562,140.91000366210938,144.58999633789062,143.67922973632812,5313500
16,2023-10-24,145.85000610351562,146.50999450683594,143.5399932861328,144.4199981689453,143.51028442382812,3521100
17,2023-10-25,144.08999633789062,144.83999633789062,143.22999572753906,143.52000427246094,142.615966796875,2841400
18,2023-10-26,143.3699951171875,144.91000366210938,142.99000549316406,143.33999633789062,142.43710327148438,3378000
