Date,Open,High,Low,Close,Adj Close,Volume
10/1/2023,0.515368,0.52522,0.514943,0.524204,0.524204,549430554
10/2/2023,0.524204,0.525543,0.51099,0.512832,0.512832,946645872
10/3/2023,0.512812,0.544901,0.507465,0.538387,0.538387,1206543606
10/4/2023,0.538404,0.541013,0.523262,0.532931,0.532931,1467518350
10/5/2023,0.532957,0.532957,0.518828,0.523366,0.523366,823945282
10/6/2023,0.523354,0.529079,0.518494,0.526193,0.526193,684500790
10/7/2023,0.52619,0.52619,0.520833,0.521906,0.521906,321512118
10/8/2023,0.521879,0.52354,0.517264,0.517961,0.517961,356449311
10/9/2023,0.517973,0.519767,0.495291,0.503227,0.503227,989847649
10/10/2023,0.503256,0.503256,0.493297,0.497436,0.497436,670612869
10/11/2023,0.497379,0.497791,0.48086,0.488838,0.488838,794253917
10/12/2023,0.488798,0.488857,0.475637,0.48305,0.48305,812745907
10/13/2023,0.483049,0.489789,0.479341,0.485699,0.485699,696915013
10/14/2023,0.48569,0.48798,0.483974,0.486775,0.486775,357321203
10/15/2023,0.486773,0.489992,0.485665,0.487846,0.487846,385469444
10/16/2023,0.487838,0.505458,0.486157,0.497977,0.497977,1082594336
10/17/2023,0.497982,0.498138,0.488605,0.491694,0.491694,773438395
10/18/2023,0.491704,0.492205,0.487422,0.488319,0.488319,734621817
10/19/2023,0.488312,0.522496,0.478668,0.520127,0.520127,1385006018
10/20/2023,0.520078,0.529103,0.510005,0.516004,0.516004,1369774008
10/21/2023,0.51599,0.529482,0.512329,0.521243,0.521243,656496071
10/22/2023,0.521198,0.523849,0.516001,0.522487,0.522487,556378450
10/23/2023,0.523598,0.550538,0.521826,0.54687,0.54687,1699115599
10/24/2023,0.546893,0.582973,0.537455,0.558532,0.558532,2705905445
10/25/2023,0.55862,0.562377,0.542238,0.555306,0.555306,1396455738
10/26/2023,0.555353,0.566775,0.544552,0.553683,0.553683,1401251370
10/27/2023,0.553685,0.557566,0.539478,0.546107,0.546107,1048891335
10/28/2023,0.545715,0.550047,0.541652,0.545391,0.545391,566792583
10/29/2023,0.545372,0.560906,0.542186,0.556394,0.556394,655356620
10/30/2023,0.55639,0.583205,0.550598,0.578944,0.578944,1527609944
10/31/2023,0.578928,0.612737,0.566493,0.600282,0.600282,2218043567
11/1/2023,0.600295,0.615906,0.582262,0.609538,0.609538,1779920317
11/2/2023,0.609544,0.624106,0.59323,0.606439,0.606439,1826715430
11/3/2023,0.606386,0.615238,0.593919,0.613002,0.613002,1403532406
11/4/2023,0.61304,0.618021,0.610138,0.616184,0.616184,811373229
11/5/2023,0.61618,0.661147,0.615291,0.661147,0.661147,1923304412
11/6/2023,0.661127,0.729872,0.660661,0.715517,0.715517,3293503683
11/7/2023,0.715505,0.715505,0.657659,0.686402,0.686402,2813667010
11/8/2023,0.68632,0.696896,0.674029,0.688076,0.688076,1770450557
11/9/2023,0.688031,0.704313,0.646319,0.667475,0.667475,3292007279
11/10/2023,0.667603,0.670539,0.643111,0.660575,0.660575,2009821437
11/11/2023,0.66056,0.680741,0.644316,0.662735,0.662735,1754960201
11/12/2023,0.662748,0.670453,0.650388,0.661536,0.661536,988542527
11/13/2023,0.661598,0.740569,0.645188,0.671524,0.671524,3089036403
11/14/2023,0.671494,0.671494,0.607617,0.629673,0.629673,2298949026
11/15/2023,0.629726,0.650154,0.626564,0.649648,0.649648,1441133011
11/16/2023,0.649609,0.652059,0.607417,0.612168,0.612168,1756409884
11/17/2023,0.612199,0.62384,0.589987,0.613717,0.613717,1462505199
