Date,Open,High,Low,Close,Adj Close,Volume
10/1/2023,26967.39648,28047.23828,26965.09375,27983.75,27983.75,9503917434
10/2/2023,27976.79883,28494.45898,27347.78711,27530.78516,27530.78516,19793041322
10/3/2023,27508.25195,27667.19141,27216.00195,27429.97852,27429.97852,11407814187
10/4/2023,27429.07422,27826.6582,27248.10547,27799.39453,27799.39453,11143355314
10/5/2023,27798.64648,28091.86133,27375.60156,27415.91211,27415.91211,11877253670
10/6/2023,27412.12305,28252.53711,27215.55273,27946.59766,27946.59766,13492391599
10/7/2023,27946.78125,28028.0918,27870.42383,27968.83984,27968.83984,6553044316
10/8/2023,27971.67773,28102.16992,27740.66211,27935.08984,27935.08984,7916875290
10/9/2023,27934.47266,27989.4707,27302.5625,27583.67773,27583.67773,12007668568
10/10/2023,27589.20117,27715.84766,27301.6543,27391.01953,27391.01953,9973350678
10/11/2023,27392.07617,27474.11523,26561.09961,26873.32031,26873.32031,13648094333
10/12/2023,26873.29297,26921.43945,26558.32031,26756.79883,26756.79883,9392909295
10/13/2023,26752.87891,27092.69727,26686.32227,26862.375,26862.375,15165312851
10/14/2023,26866.20313,26969,26814.58594,26861.70703,26861.70703,5388116782
10/15/2023,26858.01172,27289.16992,26817.89453,27159.65234,27159.65234,7098201980
10/16/2023,27162.62891,29448.13867,27130.47266,28519.4668,28519.4668,27833876539
10/17/2023,28522.09766,28618.75195,28110.18555,28415.74805,28415.74805,14872527508
10/18/2023,28413.53125,28889.00977,28174.25195,28328.3418,28328.3418,12724128586
10/19/2023,28332.41602,28892.47461,28177.98828,28719.80664,28719.80664,14448058195
10/20/2023,28732.8125,30104.08594,28601.66992,29682.94922,29682.94922,21536125230
10/21/2023,29683.38086,30287.48242,29481.75195,29918.41211,29918.41211,11541146996
10/22/2023,29918.6543,30199.43359,29720.3125,29993.89648,29993.89648,10446520040
10/23/2023,30140.68555,34370.4375,30097.82813,33086.23438,33086.23438,38363572311
10/24/2023,33077.30469,35150.43359,32880.76172,33901.52734,33901.52734,44934999645
10/25/2023,33916.04297,35133.75781,33709.10938,34502.82031,34502.82031,25254318008
10/26/2023,34504.28906,34832.91016,33762.32422,34156.64844,34156.64844,19427195376
10/27/2023,34156.5,34238.21094,33416.88672,33909.80078,33909.80078,16418032871
10/28/2023,33907.72266,34399.39063,33874.80469,34089.57422,34089.57422,10160330825
10/29/2023,34089.37109,34743.26172,33947.56641,34538.48047,34538.48047,11160323986
10/30/2023,34531.74219,34843.93359,34110.97266,34502.36328,34502.36328,17184860315
10/31/2023,34500.07813,34719.25391,34083.30859,34667.78125,34667.78125,15758270810
11/1/2023,34657.27344,35527.92969,34170.69141,35437.25391,35437.25391,22446272005
11/2/2023,35441.57813,35919.84375,34401.57422,34938.24219,34938.24219,20998158544
11/3/2023,34942.47266,34942.47266,34133.44141,34732.32422,34732.32422,17158456701
11/4/2023,34736.32422,35256.03125,34616.69141,35082.19531,35082.19531,9561294264
11/5/2023,35090.01172,35340.33984,34594.24219,35049.35547,35049.35547,12412743996
11/6/2023,35044.78906,35286.02734,34765.36328,35037.37109,35037.37109,12693436420
11/7/2023,35047.79297,35892.41797,34545.81641,35443.5625,35443.5625,18834737789
11/8/2023,35419.47656,35994.41797,35147.80078,35655.27734,35655.27734,17295394918
11/9/2023,35633.63281,37926.25781,35592.10156,36693.125,36693.125,37762672382
11/10/2023,36702.25,37493.80078,36362.75391,37313.96875,37313.96875,22711265155
11/11/2023,37310.07031,37407.09375,36773.66797,37138.05078,37138.05078,13924272142
11/12/2023,37133.99219,37227.69141,36779.11719,37054.51953,37054.51953,11545715999
11/13/2023,37070.30469,37405.11719,36399.60547,36502.35547,36502.35547,19057712790
11/14/2023,36491.78906,36753.35156,34948.5,35537.64063,35537.64063,23857403554
11/15/2023,35548.11328,37964.89453,35383.78125,37880.58203,37880.58203,27365821679
11/16/2023,37879.98047,37934.625,35545.47266,36154.76953,36154.76953,26007385366
11/17/2023,36164.82422,36704.48438,35901.23438,36596.68359,36596.68359,22445028430
11/18/2023,36625.37109,36839.28125,36233.3125,36585.70313,36585.70313,11886022717
11/19/2023,36585.76563,37509.35547,36414.59766,37386.54688,37386.54688,12915986553
11/20/2023,37374.07422,37756.82031,36882.53125,37476.95703,37476.95703,20888209068
11/21/2023,37469.16016,37631.14063,35813.8125,35813.8125,35813.8125,25172163756
11/22/2023,35756.55469,37856.98047,35670.97266,37432.33984,37432.33984,24397247860
11/23/2023,37420.43359,37643.91797,36923.86328,37289.62109,37289.62109,14214948217
11/24/2023,37296.31641,38415.33984,37261.60547,37720.28125,37720.28125,22922957823
11/25/2023,37721.41406,37892.42969,37617.41797,37796.79297,37796.79297,9099571165
11/26/2023,37796.82813,37820.30078,37162.75,37479.12109,37479.12109,13744796068
11/27/2023,37454.19141,37559.35547,36750.12891,37254.16797,37254.16797,19002925720
11/28/2023,37247.99219,38368.48047,36891.08984,37831.08594,37831.08594,21696137014
11/29/2023,37826.10547,38366.11328,37612.63281,37858.49219,37858.49219,20728546658
11/30/2023,37861.11719,38141.75391,37531.14063,37712.74609,37712.74609,18115982627
12/1/2023,37718.00781,38954.10938,37629.35938,38688.75,38688.75,23512784002
12/2/2023,38689.27734,39678.9375,38652.59375,39476.33203,39476.33203,15534035612
12/3/2023,39472.20703,40135.60547,39298.16406,39978.39063,39978.39063,15769696322
12/4/2023,39978.62891,42371.75,39978.62891,41980.09766,41980.09766,39856129827
12/5/2023,41986.26563,44408.66406,41421.14844,44080.64844,44080.64844,36312154535
12/6/2023,44080.02344,44265.76953,43478.08203,43746.44531,43746.44531,29909761586
12/7/2023,43769.13281,44042.58984,42880.64844,43292.66406,43292.66406,27635760671
12/8/2023,43293.13672,44705.51563,43125.29688,44166.60156,44166.60156,24421116687
12/9/2023,44180.01953,44361.25781,43627.59766,43725.98438,43725.98438,17368210171
12/10/2023,43728.38281,44034.625,43593.28516,43779.69922,43779.69922,13000481418
12/11/2023,43792.01953,43808.375,40234.57813,41243.83203,41243.83203,40632672038
12/12/2023,41238.73438,42048.30469,40667.5625,41450.22266,41450.22266,24779520132
12/13/2023,41468.46484,43429.78125,40676.86719,42890.74219,42890.74219,26797884674
12/14/2023,42884.26172,43390.85938,41767.08984,43023.97266,43023.97266,25578530178
12/15/2023,43028.25,43087.82422,41692.96875,41929.75781,41929.75781,19639442462
12/16/2023,41937.74219,42664.94531,41723.11328,42240.11719,42240.11719,14386729590
12/17/2023,42236.10938,42359.49609,41274.54297,41364.66406,41364.66406,16678702876
12/18/2023,41348.20313,42720.29688,40530.25781,42623.53906,42623.53906,25224642008
12/19/2023,42641.51172,43354.29688,41826.33594,42270.52734,42270.52734,23171001281
12/20/2023,42261.30078,44275.58594,42223.81641,43652.25,43652.25,27868908174
12/21/2023,43648.125,44240.66797,43330.05078,43869.15234,43869.15234,22452766169
12/22/2023,43868.98828,44367.95703,43441.96875,43997.90234,43997.90234,21028503216
12/23/2023,44012.19922,44015.69922,43351.35547,43739.54297,43739.54297,13507796558
12/24/2023,43728.36719,43945.52344,42786.91797,43016.11719,43016.11719,18830554085
