total_return,annualized_return,annualized_sharpe,sortino_ratio,max_drawdown,calmar_ratio,bb_window,rsi_window,bb_buy_threshold,bb_sell_threshold,rsi_limits,qty_scale,max_p_value
-0.15111883666785075,-0.04458947595044871,-0.004002802071606418,-0.004342615427712033,1.000697557532102,-0.044558393907160404,10,21,0.1,0.1,"[20.0, 80.0]",0.7,0.1
-0.30535754029562623,-0.09155610403793035,-0.020310167573788142,-0.05039769168277528,0.9497702110828359,-0.09639816343949865,10,21,0.1,0.1,"[20.0, 80.0]",0.7,0.15
-0.30535754029562623,-0.09155610403793035,-0.020310167573788142,-0.05039769168277528,0.9497702110828359,-0.09639816343949865,10,21,0.1,0.1,"[20.0, 80.0]",0.7,0.2
2.073350123682335,0.36696607903561085,0.20110355219981849,0.3797934652492893,0.911858770325899,0.402437406951141,10,21,0.1,0.1,"[20.0, 80.0]",1.2,0.1
-0.7962730651386,-0.34248135028629234,-0.019747520164509647,-0.08238050410915546,1.0080074522131577,-0.3397607324572336,10,21,0.1,0.1,"[20.0, 80.0]",1.2,0.15
-0.7962730651386,-0.34248135028629234,-0.019747520164509647,-0.08238050410915546,1.0080074522131577,-0.3397607324572336,10,21,0.1,0.1,"[20.0, 80.0]",1.2,0.2
3.8845765522659503,0.5551728365522282,0.3780885230973413,0.5563623466216696,0.8882456205575513,0.6250217549102538,10,21,0.1,0.1,"[20.0, 80.0]",1.6,0.1
-0.7540584003540484,-0.3090269020570934,-0.027945276010919024,-0.1455525745015095,0.9590327026195622,-0.32222770007007884,10,21,0.1,0.1,"[20.0, 80.0]",1.6,0.15
-0.7540584003540484,-0.3090269020570934,-0.027945276010919024,-0.1455525745015095,0.9590327026195622,-0.32222770007007884,10,21,0.1,0.1,"[20.0, 80.0]",1.6,0.2
2.6413555289153985,0.43305605167388617,0.34895275153076477,0.49663341877291317,0.832103609406052,0.5204352520270855,10,21,0.1,0.1,"[30.0, 70.0]",0.7,0.1
0.715645144083265,0.15287049177590006,0.0013012505406471207,0.009061641894236042,1.031655908700726,0.14817972784009556,10,21,0.1,0.1,"[30.0, 70.0]",0.7,0.15
0.715645144083265,0.15287049177590006,0.0013012505406471207,0.009061641894236042,1.031655908700726,0.14817972784009556,10,21,0.1,0.1,"[30.0, 70.0]",0.7,0.2
5.574451176453506,0.6892855443946875,0.49851706534177065,0.6839520977490873,0.8199951355703126,0.8405971139271264,10,21,0.1,0.1,"[30.0, 70.0]",1.2,0.1
1.0378437470810598,0.20636366122727368,0.003506257184774627,0.003458564394007167,1.1069630303104718,0.1864232639904826,10,21,0.1,0.1,"[30.0, 70.0]",1.2,0.15
1.0378437470810598,0.20636366122727368,0.003506257184774627,0.003458564394007167,1.1069630303104718,0.1864232639904826,10,21,0.1,0.1,"[30.0, 70.0]",1.2,0.2
9.06593907714913,0.901989432356467,0.6197024770269465,0.8009953263012253,0.7544390873702778,1.1955762200769586,10,21,0.1,0.1,"[30.0, 70.0]",1.6,0.1
-0.23472964616161884,-0.06807530717674326,-0.00019360045397474098,-0.0007695942938698867,1.1483102839125214,-0.059283024919708244,10,21,0.1,0.1,"[30.0, 70.0]",1.6,0.15
-0.23472964616161884,-0.06807530717674326,-0.00019360045397474098,-0.0007695942938698867,1.1483102839125214,-0.059283024919708244,10,21,0.1,0.1,"[30.0, 70.0]",1.6,0.2
-0.15111406664300098,-0.044587981253809694,-0.004002667782683299,-0.0043460015523018895,1.000697557532102,-0.044556900252431496,10,21,0.1,0.5,"[20.0, 80.0]",0.7,0.1
-0.3053516609134441,-0.0915540777077416,-0.020309719820214414,-0.05039672782586198,0.9497702110828359,-0.09639602994429623,10,21,0.1,0.5,"[20.0, 80.0]",0.7,0.15
-0.3053516609134441,-0.0915540777077416,-0.020309719820214414,-0.05039672782586198,0.9497702110828359,-0.09639602994429623,10,21,0.1,0.5,"[20.0, 80.0]",0.7,0.2
2.0733583008677927,0.36696709163882657,0.20110407919511494,0.37999774734475594,0.911858770325899,0.40243851743365067,10,21,0.1,0.5,"[20.0, 80.0]",1.2,0.1
-0.796263729205673,-0.3424734096901203,-0.019747180640012255,-0.08230581440839752,1.0080074522131577,-0.3397528549399051,10,21,0.1,0.5,"[20.0, 80.0]",1.2,0.15
-0.796263729205673,-0.3424734096901203,-0.019747180640012255,-0.08230581440839752,1.0080074522131577,-0.3397528549399051,10,21,0.1,0.5,"[20.0, 80.0]",1.2,0.2
3.8845874551798945,0.5551738030128175,0.37808912764392516,0.5566578670940724,0.8882456205575513,0.6250228429658174,10,21,0.1,0.5,"[20.0, 80.0]",1.6,0.1
-0.7540799606764096,-0.30904286604927744,-0.02794671300701989,-0.14543479104125584,0.9590327026195622,-0.3222443460010679,10,21,0.1,0.5,"[20.0, 80.0]",1.6,0.15
-0.7540799606764096,-0.30904286604927744,-0.02794671300701989,-0.14543479104125584,0.9590327026195622,-0.3222443460010679,10,21,0.1,0.5,"[20.0, 80.0]",1.6,0.2
7.683868033810029,0.8253676989867194,0.5144904259504542,0.7279596925391426,0.8655739430317115,0.9535496136769459,10,21,0.1,0.5,"[30.0, 70.0]",0.7,0.1
0.7703337651723126,0.1624437198294295,0.0014571371124073656,0.01213972811249058,1.1320122180953633,0.14349997043560608,10,21,0.1,0.5,"[30.0, 70.0]",0.7,0.15
0.7703337651723126,0.1624437198294295,0.0014571371124073656,0.01213972811249058,1.1320122180953633,0.14349997043560608,10,21,0.1,0.5,"[30.0, 70.0]",0.7,0.2
