train_total_return,test_total_return,train_annualized_return,test_annualized_return,train_annualized_sharpe,test_annualized_sharpe,train_sortino_ratio,test_sortino_ratio,train_max_drawdown,test_max_drawdown,train_calmar_ratio,test_calmar_ratio,bb_window,rsi_window,bb_buy_threshold,bb_sell_threshold,rsi_limits,qty_scale,max_p_value
-0.15111883666785075,0.9950309701271733,-0.04458947595044871,1.0026370979331647,-0.004002802071606418,0.2639822511976895,-0.004342615427712033,1.6217147478591742,1.000697557532102,0.5782853705957021,-0.044558393907160404,1.7338102413006409,10,21,0.1,0.1,"[20.0, 80.0]",0.7,0.1
-0.30535754029562623,0.8649082427351866,-0.09155610403793035,0.8713227362371547,-0.020310167573788142,0.034333600368990774,-0.05039769168277528,0.31458609215488004,0.9497702110828359,0.9686479540354883,-0.09639816343949865,0.8995246752002453,10,21,0.1,0.1,"[20.0, 80.0]",0.7,0.15
-0.30535754029562623,0.8649082427351866,-0.09155610403793035,0.8713227362371547,-0.020310167573788142,0.034333600368990774,-0.05039769168277528,0.31458609215488004,0.9497702110828359,0.9686479540354883,-0.09639816343949865,0.8995246752002453,10,21,0.1,0.1,"[20.0, 80.0]",0.7,0.2
2.073350123682335,1.7342977780025102,0.36696607903561085,1.7494933492340845,0.20110355219981849,0.4852148380320521,0.3797934652492893,2.163275465519732,0.911858770325899,0.6550338629169273,0.402437406951141,2.6708441323070327,10,21,0.1,0.1,"[20.0, 80.0]",1.2,0.1
-0.7962730651386,1.1109707098792545,-0.34248135028629234,1.119678467892467,-0.019747520164509647,0.04823468716552588,-0.08238050410915546,0.41485184032226907,1.0080074522131577,0.9640052835973769,-0.3397607324572336,1.1614858206110288,10,21,0.1,0.1,"[20.0, 80.0]",1.2,0.15
-0.7962730651386,1.1109707098792545,-0.34248135028629234,1.119678467892467,-0.019747520164509647,0.04823468716552588,-0.08238050410915546,0.41485184032226907,1.0080074522131577,0.9640052835973769,-0.3397607324572336,1.1614858206110288,10,21,0.1,0.1,"[20.0, 80.0]",1.2,0.2
3.8845765522659503,2.1628007759859025,0.5551728365522282,2.182929749530907,0.3780885230973413,0.6431926403313929,0.5563623466216696,2.2285194977998755,0.8882456205575513,0.73334096192124,0.6250217549102538,2.9766914203346397,10,21,0.1,0.1,"[20.0, 80.0]",1.6,0.1
-0.7540584003540484,1.2763006062930602,-0.3090269020570934,1.2866401316604281,-0.027945276010919024,0.05860325023974388,-0.1455525745015095,0.4796166353931666,0.9590327026195622,0.960291147246888,-0.32222770007007884,1.3398437914888293,10,21,0.1,0.1,"[20.0, 80.0]",1.6,0.15
-0.7540584003540484,1.2763006062930602,-0.3090269020570934,1.2866401316604281,-0.027945276010919024,0.05860325023974388,-0.1455525745015095,0.4796166353931666,0.9590327026195622,0.960291147246888,-0.32222770007007884,1.3398437914888293,10,21,0.1,0.1,"[20.0, 80.0]",1.6,0.2
2.6413555289153985,1.276393289772507,0.43305605167388617,1.2867337491141582,0.34895275153076477,0.3501288186517638,0.49663341877291317,1.717541230826864,0.832103609406052,0.6088977594246037,0.5204352520270855,2.1132180718321187,10,21,0.1,0.1,"[30.0, 70.0]",0.7,0.1
0.715645144083265,0.3484214629924933,0.15287049177590006,0.3506441736879766,0.0013012505406471207,0.011678463708402266,0.009061641894236042,0.10432449646543834,1.031655908700726,0.9617572491756564,0.14817972784009556,0.3645869828259902,10,21,0.1,0.1,"[30.0, 70.0]",0.7,0.15
0.715645144083265,0.3484214629924933,0.15287049177590006,0.3506441736879766,0.0013012505406471207,0.011678463708402266,0.009061641894236042,0.10432449646543834,1.031655908700726,0.9617572491756564,0.14817972784009556,0.3645869828259902,10,21,0.1,0.1,"[30.0, 70.0]",0.7,0.2
5.574451176453506,0.4876602595087751,0.6892855443946875,0.49091950215665214,0.49851706534177065,0.07241007709474051,0.6839520977490873,0.31758459832911623,0.8199951355703126,0.829088558344244,0.8405971139271264,0.5921194994381029,10,21,0.1,0.1,"[30.0, 70.0]",1.2,0.1
1.0378437470810598,1.1813174452366635,0.20636366122727368,1.1907110172959676,0.003506257184774627,0.040546723986350786,0.003458564394007167,0.3824512663454428,1.1069630303104718,0.98019779472547,0.1864232639904826,1.2147660642609968,10,21,0.1,0.1,"[30.0, 70.0]",1.2,0.15
1.0378437470810598,1.1813174452366635,0.20636366122727368,1.1907110172959676,0.003506257184774627,0.040546723986350786,0.003458564394007167,0.3824512663454428,1.1069630303104718,0.98019779472547,0.1864232639904826,1.2147660642609968,10,21,0.1,0.1,"[30.0, 70.0]",1.2,0.2
9.06593907714913,1.613412001116107,0.901989432356467,1.6272811331955563,0.6197024770269465,0.2605883083499241,0.8009953263012253,0.8491165245422344,0.7544390873702778,0.8496521165507483,1.1955762200769586,1.91523224799542,10,21,0.1,0.1,"[30.0, 70.0]",1.6,0.1
-0.23472964616161884,1.2210403211137169,-0.06807530717674326,1.230826756435297,-0.00019360045397474098,0.0410700291195071,-0.0007695942938698867,0.3756685446592817,1.1483102839125214,0.9818811620843453,-0.059283024919708244,1.2535394342656376,10,21,0.1,0.1,"[30.0, 70.0]",1.6,0.15
-0.23472964616161884,1.2210403211137169,-0.06807530717674326,1.230826756435297,-0.00019360045397474098,0.0410700291195071,-0.0007695942938698867,0.3756685446592817,1.1483102839125214,0.9818811620843453,-0.059283024919708244,1.2535394342656376,10,21,0.1,0.1,"[30.0, 70.0]",1.6,0.2
